Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,1487,1595,98,96183,3289.67,0.067%,13.95026,2.18,1.72,159.7
user_info_2,1486,1738,96,101780,4186.91,0.067%,13.95502,5.21,3.27,382.6
user_info_3,1485,1700,95,103156,4050.58,0.067%,13.95939,3.58,3.27,262.6
object_info_1,1484,1571,98,47193,2978.90,0.000%,23.53501,4.80,3.59,209.0
object_info_2,1484,1733,95,104899,4673.40,0.135%,13.98246,5.25,2.15,384.1
object_info_3,1482,1513,97,103153,3622.20,0.067%,13.98958,4.56,2.17,333.6
object_info_4,1481,1481,94,98384,3532.20,0.068%,14.01573,2.77,2.16,202.7
TOTAL,10389,1619,94,104899,3801.16,0.067%,97.46419,26.30,16.81,276.3
