Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,750,506,96,3751,367.76,0.000%,47.31264,7.30,5.82,158.0
user_info_2,750,510,96,5364,414.61,0.000%,45.56224,16.95,10.68,381.0
user_info_3,750,521,96,3321,374.32,0.000%,45.55670,11.61,10.68,261.0
object_info_1,750,523,96,4427,366.36,0.000%,45.53181,9.29,6.94,209.0
object_info_2,750,515,98,3302,338.48,0.000%,45.50143,16.93,7.02,381.0
object_info_3,750,548,98,5089,482.45,0.000%,45.50143,14.75,7.07,332.0
object_info_4,750,524,99,4919,407.45,0.000%,45.51523,8.93,7.02,201.0
TOTAL,5250,521,96,5364,395.68,0.000%,307.03550,82.37,52.99,274.7
